model,Nb features,top feature 1,top feature 2,top feature 3,top feature 4,top feature 5,top feature 6,top feature 7,top feature 8,top feature 9,top feature 10,top feature 11,top feature 12,top feature 13,top feature 14,top feature 15,top feature 16,top feature 17,top feature 18,top feature 19,top feature 20,top feature 21,top feature 22,top feature 23,top feature 24,top feature 25,top feature 26,top feature 27,top feature 28,top feature 29,top feature 30,top feature 31,top feature 32,top feature 33,top feature 34,top feature 35,top feature 36,top feature 37,top feature 38,top feature 39,top feature 40
glmboost_glmnet,5,Ser+tIMP1Seru,Ser+tGFb1Seru,Sal+cXCL16SAL,Af+Af_lowGreyLevelRun,Af+Af_runLengthNonunif,Af+Af_greyLevelNonunif,clinic+LowerBackPain,clinic+MuscleSore,clinic+RestlessSleep,clinic+MouthOpen,C+C_energy,C+C_entropy,C+C_correlation,C+C_invDiffMoment,C+C_inertia,C+C_shortRunEmph,C+C_longRunEmph,C+C_greyLevelNonunif,C+C_runLengthNonunif,C+C_lowGreyLevelRun,Sal+vEGFSAL,C+C_highGreyLevelRun,C+C_shortRunHighGrey,Af+Af_longRunEmph,Af+Af_shortRunEmph,Af+Af_inertia,Af+Af_invDiffMoment,Af+Af_correlation,Af+Af_entropy,C+C_shortRunLowGrey,Af+Af_energy,C+C_TbN,C+C_TbSp,C+C_TbTh,C+C_BVTV,C+C_longRunHighGrey,C+C_longRunLowGreys,C+C_BSBV,JS+3D_Sc_Sf_JS,clinic+Headache
glmboost_rf,5,Af+Af_shortRunEmph,Ser+pAI1Seru,Af+Af_runLengthNonunif,C+C_TbN,Ser+oPGSeru,Ser+bDNFSeru,Ser+tGFb1Seru,Ser+mMP3Seru,C+C_greyLevelNonunif,Ser+angiogeninSeru,Af+Af_shortRunLowGrey,Sal+tIMP1SAL,C+C_BSBV,Af+Af_inertia,Af+Af_longRunEmph,Sal+tGFb1SAL,C+C_shortRunHighGrey,Af+Af_longRunHighGrey,Af+Af_invDiffMoment,C+C_highGreyLevelRun,demo+Age,Af+Af_highGreyLevelRun,Sal+tRANCESAL,C+C_correlation,Sal+angiogeninSAL,C+C_longRunHighGrey,Sal+oPGSAL,C+C_shortRunLowGrey,Ser+vECadherinSeru,Sal+cXCL16SAL,Af+Af_longRunLowGrey,Af+Af_shortRunHighGrey,Af+Af_lowGreyLevelRun,Sal+eNA78SAL,Af+Af_BSBV,Af+Af_TbTh,clinic+RestlessSleep,clinic+MouthOpen,clinic+Headache,clinic+LowerBackPain
glmboost_xgbTree,10,Af+Af_correlation,C+C_shortRunEmph,C+C_correlation,C+C_invDiffMoment,C+C_longRunLowGreys,C+C_longRunHighGrey,C+C_longRunEmph,C+C_BVTV,clinic+RestlessSleep,C+C_TbSp,clinic+MuscleSore,C+C_TbN,C+C_BSBV,clinic+MouthOpen,C+C_runLengthNonunif,Ser+pAI1Seru,demo+Age,C+C_shortRunHighGrey,Af+Af_TbSp,Af+Af_energy,C+C_lowGreyLevelRun,C+C_shortRunLowGrey,C+C_greyLevelNonunif,Sal+angiogeninSAL,C+C_entropy,Af+Af_TbTh,Ser+eNA78Seru,Ser+mMP7Seru,Af+Af_greyLevelNonunif,Sal+vECadherinSAL,Af+Af_entropy,C+C_TbTh,C+C_energy,Af+Af_lowGreyLevelRun,Sal+oPGSAL,Ser+mMP3Seru,Ser+oPGSeru,clinic+Headache,C+C_highGreyLevelRun,clinic+LowerBackPain
glmboost_lda2,10,Af+Af_lowGreyLevelRun,Af+Af_longRunHighGrey,C+C_entropy,clinic+LowerBackPain,Sal+tIMP1SAL,Ser+mMP7Seru,clinic+RestlessSleep,Af+Af_highGreyLevelRun,Ser+tIMP1Seru,Sal+mMP7SAL,C+C_longRunHighGrey,C+C_energy,C+C_greyLevelNonunif,C+C_TbN,C+C_runLengthNonunif,Ser+vECadherinSeru,Ser+angiogeninSeru,Sal+tGFb1SAL,Sal+vEGFSAL,C+C_shortRunLowGrey,Af+Af_BSBV,Af+Af_TbN,C+C_TbTh,C+C_BSBV,C+C_inertia,C+C_TbSp,Af+Af_longRunLowGrey,Sal+oPGSAL,C+C_longRunEmph,C+C_shortRunEmph,Af+Af_invDiffMoment,C+C_shortRunHighGrey,Af+Af_inertia,Af+Af_correlation,clinic+Headache,Sal+vECadherinSAL,C+C_BVTV,Af+Af_shortRunEmph,Af+Af_energy,Af+Af_TbSp
glmboost_nnet,20,C+C_longRunHighGrey,Ser+tRANCESeru,Af+Af_TbSp,clinic+MuscleSore,C+C_TbSp,Sal+vEGFSAL,C+C_highGreyLevelRun,C+C_BVTV,Af+Af_correlation,Ser+bDNFSeru,Ser+vEGFSeru,Af+Af_lowGreyLevelRun,Sal+oPGSAL,Af+Af_BVTV,clinic+LowerBackPain,Ser+eNA78Seru,Af+Af_invDiffMoment,Af+Af_highGreyLevelRun,C+C_longRunEmph,Af+Af_shortRunLowGrey,C+C_energy,Sal+tIMP1SAL,Af+Af_shortRunEmph,Ser+mMP3Seru,Ser+tIMP1Seru,C+C_invDiffMoment,JS+3D_Sc_Sf_JS,Af+Af_energy,clinic+RestlessSleep,demo+Age,Ser+pAI1Seru,Af+Af_longRunLowGrey,clinic+MouthOpen,Ser+vECadherinSeru,clinic+Headache,C+C_shortRunEmph,Sal+cXCL16SAL,Af+Af_longRunHighGrey,C+C_entropy,Af+Af_TbN
glmboost_glmboost,20,C+C_invDiffMoment,C+C_inertia,C+C_shortRunEmph,C+C_longRunEmph,C+C_greyLevelNonunif,C+C_energy,Sal+tRANCESAL,C+C_runLengthNonunif,C+C_lowGreyLevelRun,Sal+tIMP1SAL,C+C_shortRunLowGrey,Sal+vECadherinSAL,C+C_longRunLowGreys,clinic+MuscleSore,C+C_BVTV,C+C_TbTh,C+C_TbSp,clinic+LowerBackPain,C+C_BSBV,Af+Af_energy,clinic+Headache,C+C_correlation,C+C_entropy,Af+Af_invDiffMoment,Sal+cXCL16SAL,Sal+oPGSAL,Sal+tGFb1SAL,Af+Af_entropy,Ser+tIMP1Seru,C+C_shortRunHighGrey,C+C_longRunHighGrey,Af+Af_TbN,JS+3D_Sc_Sf_JS,Ser+pAI1Seru,C+C_TbN,clinic+MouthOpen,demo+Age,Af+Af_BSBV,clinic+RestlessSleep,C+C_highGreyLevelRun
hdda_glmnet,5,C+C_energy,C+C_entropy,C+C_correlation,C+C_invDiffMoment,C+C_inertia,C+C_shortRunEmph,C+C_longRunEmph,C+C_greyLevelNonunif,Sal+cXCL16SAL,C+C_lowGreyLevelRun,Sal+angiogeninSAL,Ser+vEGFSeru,C+C_shortRunHighGrey,C+C_longRunLowGreys,C+C_longRunHighGrey,C+C_BVTV,Ser+angiogeninSeru,Ser+cXCL16Seru,demo+Age,C+C_shortRunLowGrey,Sal+oPGSAL,Ser+tIMP1Seru,C+C_runLengthNonunif,Af+Af_BVTV,Sal+eNA78SAL,Af+Af_longRunHighGrey,Ser+eNA78Seru,Sal+mMP7SAL,Ser+tGFb1Seru,Ser+mMP7Seru,clinic+MuscleSore,JS+3D_Sc_Sf_JS,clinic+LowerBackPain,C+C_highGreyLevelRun,Af+Af_shortRunEmph,Ser+bDNFSeru,Ser+pAI1Seru,clinic+RestlessSleep,clinic+Headache,Af+Af_BSBV
hdda_rf,5,Sal+angiogeninSAL,Ser+vECadherinSeru,Af+Af_longRunHighGrey,Af+Af_correlation,clinic+MouthOpen,C+C_shortRunLowGrey,Af+Af_lowGreyLevelRun,Ser+cXCL16Seru,Ser+oPGSeru,C+C_invDiffMoment,JS+3D_Sc_Sf_JS,C+C_longRunEmph,Ser+angiogeninSeru,C+C_entropy,C+C_shortRunHighGrey,Sal+vECadherinSAL,Af+Af_BVTV,Af+Af_shortRunHighGrey,Af+Af_TbTh,Ser+tIMP1Seru,Ser+vEGFSeru,Af+Af_BSBV,Ser+mMP7Seru,C+C_shortRunEmph,C+C_energy,demo+Age,Ser+pAI1Seru,Sal+eNA78SAL,Af+Af_TbN,clinic+MuscleSore,Af+Af_longRunLowGrey,Ser+bDNFSeru,Sal+oPGSAL,C+C_inertia,Ser+eNA78Seru,C+C_highGreyLevelRun,Sal+tRANCESAL,clinic+Headache,clinic+LowerBackPain,clinic+RestlessSleep
hdda_xgbTree,10,C+C_longRunHighGrey,Sal+oPGSAL,C+C_shortRunHighGrey,clinic+LowerBackPain,Ser+angiogeninSeru,Af+Af_shortRunEmph,Af+Af_greyLevelNonunif,Sal+tGFb1SAL,C+C_entropy,Ser+eNA78Seru,C+C_highGreyLevelRun,Af+Af_TbSp,Af+Af_invDiffMoment,C+C_longRunEmph,Af+Af_TbTh,C+C_greyLevelNonunif,Af+Af_energy,clinic+MouthOpen,Af+Af_highGreyLevelRun,C+C_TbN,Af+Af_shortRunHighGrey,Ser+vECadherinSeru,Sal+angiogeninSAL,Sal+tRANCESAL,Af+Af_lowGreyLevelRun,Af+Af_BVTV,Ser+tRANCESeru,Sal+eNA78SAL,JS+3D_Sc_Sf_JS,clinic+RestlessSleep,C+C_TbTh,C+C_shortRunLowGrey,Ser+vEGFSeru,C+C_energy,C+C_invDiffMoment,Af+Af_longRunLowGrey,Af+Af_TbN,Ser+mMP3Seru,clinic+Headache,Ser+pAI1Seru
hdda_lda2,20,C+C_longRunEmph,Af+Af_TbN,Sal+eNA78SAL,Sal+oPGSAL,Af+Af_shortRunEmph,C+C_entropy,Ser+tIMP1Seru,C+C_shortRunEmph,Ser+pAI1Seru,Af+Af_BVTV,Sal+tGFb1SAL,Af+Af_longRunHighGrey,Ser+bDNFSeru,Af+Af_shortRunLowGrey,Ser+vECadherinSeru,Ser+vEGFSeru,Af+Af_lowGreyLevelRun,Af+Af_inertia,Sal+vECadherinSAL,Ser+mMP7Seru,Af+Af_BSBV,C+C_runLengthNonunif,Af+Af_longRunLowGrey,clinic+Headache,C+C_inertia,Af+Af_energy,Ser+angiogeninSeru,C+C_correlation,Af+Af_highGreyLevelRun,C+C_BVTV,C+C_BSBV,C+C_invDiffMoment,C+C_longRunHighGrey,C+C_highGreyLevelRun,Af+Af_shortRunHighGrey,Af+Af_entropy,Af+Af_longRunEmph,Af+Af_correlation,C+C_lowGreyLevelRun,C+C_shortRunHighGrey
hdda_nnet,5,Af+Af_BVTV,demo+Age,clinic+LowerBackPain,C+C_longRunEmph,Ser+cXCL16Seru,Af+Af_longRunLowGrey,Af+Af_invDiffMoment,Sal+vECadherinSAL,Ser+vECadherinSeru,Af+Af_highGreyLevelRun,Ser+mMP7Seru,C+C_runLengthNonunif,C+C_inertia,Ser+bDNFSeru,C+C_longRunHighGrey,Sal+tRANCESAL,C+C_entropy,Ser+oPGSeru,C+C_TbN,Af+Af_runLengthNonunif,C+C_shortRunEmph,Ser+tIMP1Seru,Af+Af_greyLevelNonunif,Af+Af_inertia,Af+Af_shortRunHighGrey,Ser+vEGFSeru,Ser+eNA78Seru,Ser+angiogeninSeru,Sal+angiogeninSAL,Ser+pAI1Seru,Sal+oPGSAL,clinic+MuscleSore,Af+Af_BSBV,Af+Af_correlation,C+C_shortRunHighGrey,C+C_highGreyLevelRun,Sal+eNA78SAL,Sal+tIMP1SAL,Sal+mMP7SAL,clinic+Headache
hdda_glmboost,10,Ser+eNA78Seru,Sal+angiogeninSAL,Sal+vECadherinSAL,clinic+MouthOpen,Af+Af_BVTV,Af+Af_energy,Af+Af_inertia,C+C_correlation,C+C_invDiffMoment,C+C_shortRunLowGrey,Af+Af_shortRunLowGrey,clinic+RestlessSleep,C+C_runLengthNonunif,C+C_shortRunEmph,C+C_BVTV,JS+3D_Sc_Sf_JS,Ser+tGFb1Seru,demo+Age,Ser+bDNFSeru,Af+Af_BSBV,Af+Af_entropy,C+C_longRunHighGrey,Sal+tRANCESAL,Af+Af_correlation,C+C_lowGreyLevelRun,Af+Af_shortRunHighGrey,Af+Af_longRunHighGrey,Ser+oPGSeru,Af+Af_longRunEmph,clinic+LowerBackPain,Af+Af_longRunLowGrey,Ser+pAI1Seru,Af+Af_lowGreyLevelRun,Af+Af_TbN,C+C_TbN,Ser+cXCL16Seru,Af+Af_TbTh,Af+Af_runLengthNonunif,Af+Af_TbSp,Af+Af_highGreyLevelRun
test3 ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_glmnet,10,Sal+tIMP1SAL,Ser+bDNFSeru,C+C_highGreyLevelRun,Sal+oPGSAL,Ser+eNA78Seru,Sal+mMP7SAL,Sal+tGFb1SAL,Af+Af_BSBV,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_rf,15,Af+Af_BVTV,Sal+eNA78SAL,C+C_shortRunHighGrey,C+C_TbTh,clinic+LowerBackPain,C+C_TbN,C+C_BSBV,clinic+MouthOpen,Af+Af_TbTh,C+C_lowGreyLevelRun,demo+Age,Af+Af_BSBV,JS+3D_Sc_Sf_JS,clinic+RestlessSleep,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_xgbTree,20,C+C_highGreyLevelRun,C+C_lowGreyLevelRun,C+C_shortRunHighGrey,C+C_TbTh,clinic+Headache,C+C_longRunLowGreys,Af+Af_entropy,Af+Af_longRunHighGrey,Af+Af_TbTh,Af+Af_invDiffMoment,Af+Af_lowGreyLevelRun,Af+Af_correlation,Af+Af_shortRunHighGrey,Ser+eNA78Seru,Af+Af_highGreyLevelRun,C+C_longRunHighGrey,Af+Af_shortRunEmph,C+C_shortRunLowGrey,JS+3D_Sc_Sf_JS,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,
glmnet_lda2,15,C+C_energy,Ser+vEGFSeru,C+C_BVTV,Af+Af_runLengthNonunif,C+C_runLengthNonunif,C+C_longRunHighGrey,Af+Af_energy,Af+Af_inertia,Af+Af_TbTh,Ser+bDNFSeru,Af+Af_correlation,Af+Af_shortRunHighGrey,Af+Af_longRunEmph,Af+Af_BSBV,Af+Af_longRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_nnet,10,Ser+eNA78Seru,Af+Af_BSBV,clinic+Headache,JS+3D_Sc_Sf_JS,Sal+angiogeninSAL,Af+Af_correlation,Ser+bDNFSeru,Af+Af_BVTV,Sal+vEGFSAL,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmnet_glmboost,20,C+C_entropy,C+C_shortRunHighGrey,Af+Af_correlation,Sal+cXCL16SAL,Af+Af_energy,C+C_highGreyLevelRun,Af+Af_invDiffMoment,Af+Af_longRunLowGrey,Af+Af_shortRunHighGrey,C+C_invDiffMoment,Af+Af_highGreyLevelRun,C+C_BVTV,Sal+angiogeninSAL,clinic+Headache,Af+Af_BSBV,Ser+vEGFSeru,Af+Af_TbN,Ser+pAI1Seru,C+C_longRunLowGreys,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,
svmLinear_glmnet,15,Sal+mMP7SAL,C+C_TbN,clinic+LowerBackPain,Af+Af_BVTV,Af+Af_correlation,Af+Af_shortRunEmph,clinic+Headache,JS+3D_Sc_Sf_JS,Ser+eNA78Seru,Af+Af_longRunHighGrey,Ser+bDNFSeru,Sal+angiogeninSAL,clinic+RestlessSleep,Af+Af_BSBV,Sal+vEGFSAL,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_rf,20,Ser+vECadherinSeru,Af+Af_shortRunLowGrey,C+C_lowGreyLevelRun,Af+Af_invDiffMoment,clinic+LowerBackPain,C+C_longRunLowGreys,Sal+eNA78SAL,Af+Af_longRunHighGrey,Af+Af_highGreyLevelRun,C+C_longRunHighGrey,C+C_shortRunHighGrey,Af+Af_lowGreyLevelRun,Af+Af_shortRunHighGrey,Af+Af_BSBV,Af+Af_longRunLowGrey,Af+Af_TbSp,clinic+RestlessSleep,Af+Af_TbTh,Af+Af_BVTV,JS+3D_Sc_Sf_JS,,,,,,,,,,,,,,,,,,,,
svmLinear_xgbTree,20,Ser+eNA78Seru,Ser+tGFb1Seru,Af+Af_shortRunHighGrey,C+C_longRunHighGrey,clinic+Headache,Af+Af_TbTh,Sal+tGFb1SAL,Sal+angiogeninSAL,Sal+eNA78SAL,Af+Af_entropy,Af+Af_shortRunEmph,Af+Af_longRunHighGrey,Af+Af_invDiffMoment,Af+Af_shortRunLowGrey,Af+Af_lowGreyLevelRun,C+C_longRunEmph,JS+3D_Sc_Sf_JS,clinic+LowerBackPain,clinic+RestlessSleep,Af+Af_BVTV,,,,,,,,,,,,,,,,,,,,
svmLinear_lda2,5,C+C_runLengthNonunif,Af+Af_highGreyLevelRun,C+C_longRunHighGrey,Af+Af_longRunLowGrey,C+C_shortRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_nnet,10,Sal+mMP7SAL,Af+Af_BSBV,JS+3D_Sc_Sf_JS,clinic+Headache,Sal+angiogeninSAL,Af+Af_correlation,Af+Af_BVTV,Ser+bDNFSeru,Sal+vEGFSAL,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
svmLinear_glmboost,5,Af+Af_shortRunHighGrey,JS+3D_Sc_Sf_JS,clinic+LowerBackPain,C+C_longRunLowGreys,Af+Af_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_glmnet,5,clinic+MouthOpen,Sal+oPGSAL,Sal+mMP7SAL,C+C_shortRunHighGrey,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_rf,15,Af+Af_invDiffMoment,C+C_runLengthNonunif,Af+Af_longRunLowGrey,Af+Af_longRunHighGrey,Af+Af_BSBV,Af+Af_runLengthNonunif,Ser+oPGSeru,Af+Af_inertia,Ser+eNA78Seru,clinic+RestlessSleep,clinic+LowerBackPain,Af+Af_TbTh,clinic+MouthOpen,Sal+angiogeninSAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
rf_xgbTree,10,Af+Af_energy,Ser+oPGSeru,C+C_energy,clinic+LowerBackPain,Sal+oPGSAL,C+C_TbTh,clinic+Headache,Af+Af_lowGreyLevelRun,Af+Af_longRunLowGrey,C+C_highGreyLevelRun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_lda2,5,Ser+angiogeninSeru,C+C_longRunHighGrey,C+C_entropy,C+C_TbSp,C+C_BSBV,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_nnet,10,Sal+tGFb1SAL,Af+Af_shortRunLowGrey,Af+Af_greyLevelNonunif,Ser+bDNFSeru,clinic+MouthOpen,Ser+eNA78Seru,Af+Af_BSBV,clinic+RestlessSleep,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
rf_glmboost,5,Af+Af_runLengthNonunif,Af+Af_TbTh,Ser+vEGFSeru,C+C_energy,Sal+oPGSAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_glmnet,15,C+C_shortRunHighGrey,Sal+cXCL16SAL,Sal+eNA78SAL,Sal+tGFb1SAL,C+C_highGreyLevelRun,Ser+cXCL16Seru,Af+Af_shortRunEmph,clinic+MouthOpen,clinic+RestlessSleep,Af+Af_BSBV,clinic+MuscleSore,Ser+eNA78Seru,Sal+tIMP1SAL,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_rf,15,C+C_TbTh,C+C_longRunHighGrey,Sal+eNA78SAL,Af+Af_longRunLowGrey,Ser+pAI1Seru,Sal+oPGSAL,C+C_lowGreyLevelRun,C+C_energy,C+C_correlation,Sal+tRANCESAL,C+C_shortRunHighGrey,Af+Af_shortRunHighGrey,C+C_highGreyLevelRun,clinic+Headache,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_xgbTree,5,clinic+Headache,clinic+RestlessSleep,Af+Af_shortRunHighGrey,C+C_longRunHighGrey,Af+Af_longRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
xgbTree_lda2,20,Af+Af_correlation,C+C_longRunHighGrey,Sal+vEGFSAL,Af+Af_shortRunLowGrey,Af+Af_shortRunEmph,C+C_energy,C+C_shortRunEmph,Sal+vECadherinSAL,C+C_correlation,C+C_runLengthNonunif,Af+Af_lowGreyLevelRun,Af+Af_shortRunHighGrey,Sal+tRANCESAL,C+C_shortRunLowGrey,Af+Af_greyLevelNonunif,Af+Af_BVTV,Af+Af_longRunHighGrey,Af+Af_BSBV,C+C_shortRunHighGrey,Af+Af_TbSp,,,,,,,,,,,,,,,,,,,,
xgbTree_nnet,20,Af+Af_TbN,Sal+mMP7SAL,C+C_BSBV,C+C_longRunHighGrey,Af+Af_BSBV,C+C_runLengthNonunif,Sal+tRANCESAL,C+C_inertia,Af+Af_entropy,Sal+cXCL16SAL,Ser+tRANCESeru,Af+Af_TbTh,Af+Af_longRunHighGrey,Af+Af_greyLevelNonunif,clinic+RestlessSleep,clinic+MouthOpen,clinic+LowerBackPain,Sal+angiogeninSAL,Ser+eNA78Seru,clinic+Headache,,,,,,,,,,,,,,,,,,,,
xgbTree_glmboost,10,clinic+MouthOpen,C+C_longRunEmph,Af+Af_greyLevelNonunif,Af+Af_longRunLowGrey,Sal+mMP7SAL,Af+Af_shortRunLowGrey,Af+Af_shortRunEmph,C+C_shortRunHighGrey,Sal+vECadherinSAL,Af+Af_runLengthNonunif,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_glmnet,15,Ser+vEGFSeru,Sal+mMP7SAL,Af+Af_greyLevelNonunif,Sal+eNA78SAL,Sal+tRANCESAL,Sal+oPGSAL,C+C_longRunHighGrey,Sal+angiogeninSAL,C+C_highGreyLevelRun,Ser+eNA78Seru,Ser+bDNFSeru,JS+3D_Sc_Sf_JS,Af+Af_BSBV,Sal+vEGFSAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_rf,20,JS+3D_Sc_Sf_JS,C+C_highGreyLevelRun,Sal+oPGSAL,Ser+tGFb1Seru,C+C_energy,clinic+MouthOpen,clinic+LowerBackPain,C+C_correlation,Af+Af_entropy,Ser+pAI1Seru,Af+Af_shortRunLowGrey,Af+Af_BVTV,Af+Af_TbN,Af+Af_shortRunHighGrey,Af+Af_highGreyLevelRun,Ser+vECadherinSeru,Af+Af_longRunLowGrey,Af+Af_BSBV,Af+Af_longRunHighGrey,clinic+Headache,,,,,,,,,,,,,,,,,,,,
lda2_xgbTree,15,Af+Af_invDiffMoment,C+C_lowGreyLevelRun,C+C_energy,Af+Af_BVTV,C+C_entropy,Af+Af_shortRunHighGrey,C+C_longRunLowGreys,Ser+eNA78Seru,C+C_longRunHighGrey,Af+Af_shortRunEmph,Af+Af_entropy,Af+Af_lowGreyLevelRun,clinic+RestlessSleep,JS+3D_Sc_Sf_JS,Af+Af_correlation,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_lda2,15,C+C_energy,Ser+vEGFSeru,C+C_BVTV,Af+Af_runLengthNonunif,C+C_runLengthNonunif,C+C_longRunHighGrey,Af+Af_energy,Af+Af_inertia,Af+Af_TbTh,Ser+bDNFSeru,Af+Af_correlation,Af+Af_shortRunHighGrey,Af+Af_longRunEmph,Af+Af_BSBV,Af+Af_longRunHighGrey,,,,,,,,,,,,,,,,,,,,,,,,,
lda2_nnet,20,Ser+bDNFSeru,Af+Af_longRunLowGrey,Sal+tRANCESAL,C+C_TbTh,Ser+cXCL16Seru,Sal+cXCL16SAL,Af+Af_lowGreyLevelRun,Ser+vECadherinSeru,Sal+eNA78SAL,clinic+MuscleSore,C+C_shortRunHighGrey,C+C_shortRunLowGrey,Af+Af_invDiffMoment,Sal+vEGFSAL,Af+Af_energy,Ser+vEGFSeru,Sal+tIMP1SAL,C+C_longRunEmph,demo+Age,JS+3D_Sc_Sf_JS,,,,,,,,,,,,,,,,,,,,
lda2_glmboost,5,Ser+mMP3Seru,C+C_BSBV,Af+Af_shortRunHighGrey,Af+Af_BSBV,Af+Af_highGreyLevelRun,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_glmnet,10,Sal+tIMP1SAL,Ser+bDNFSeru,C+C_highGreyLevelRun,Sal+oPGSAL,Ser+eNA78Seru,Sal+mMP7SAL,Sal+tGFb1SAL,Af+Af_BSBV,clinic+LowerBackPain,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_rf,15,Sal+oPGSAL,Af+Af_highGreyLevelRun,Sal+tRANCESAL,C+C_lowGreyLevelRun,Af+Af_TbN,Af+Af_longRunLowGrey,C+C_shortRunHighGrey,C+C_entropy,clinic+MouthOpen,Af+Af_BSBV,C+C_correlation,C+C_highGreyLevelRun,clinic+LowerBackPain,Af+Af_TbTh,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_xgbTree,10,clinic+Headache,Af+Af_shortRunEmph,Sal+tRANCESAL,Ser+mMP7Seru,Sal+eNA78SAL,C+C_longRunEmph,C+C_energy,Af+Af_runLengthNonunif,C+C_lowGreyLevelRun,Af+Af_TbTh,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_lda2,20,Af+Af_longRunEmph,C+C_inertia,C+C_entropy,C+C_greyLevelNonunif,Af+Af_correlation,C+C_lowGreyLevelRun,Sal+angiogeninSAL,Af+Af_greyLevelNonunif,Af+Af_longRunLowGrey,C+C_invDiffMoment,Sal+oPGSAL,Af+Af_highGreyLevelRun,C+C_BSBV,Af+Af_longRunHighGrey,C+C_TbSp,Af+Af_inertia,C+C_shortRunHighGrey,Sal+vEGFSAL,Af+Af_BSBV,C+C_correlation,,,,,,,,,,,,,,,,,,,,
nnet_nnet,15,Ser+eNA78Seru,Sal+vECadherinSAL,Sal+angiogeninSAL,Ser+tRANCESeru,Sal+mMP7SAL,Af+Af_BSBV,Af+Af_TbN,clinic+LowerBackPain,Af+Af_correlation,Ser+bDNFSeru,Af+Af_BVTV,clinic+Headache,JS+3D_Sc_Sf_JS,Sal+vEGFSAL,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,
nnet_glmboost,15,Af+Af_longRunHighGrey,Af+Af_TbSp,Sal+tGFb1SAL,Af+Af_invDiffMoment,C+C_highGreyLevelRun,clinic+RestlessSleep,Ser+eNA78Seru,Af+Af_BVTV,C+C_BSBV,clinic+Headache,demo+Age,clinic+MouthOpen,Ser+bDNFSeru,JS+3D_Sc_Sf_JS,Sal+tRANCESAL,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_glmnet,15,Ser+vEGFSeru,Sal+mMP7SAL,Af+Af_greyLevelNonunif,Sal+eNA78SAL,Sal+tRANCESAL,Sal+oPGSAL,C+C_longRunHighGrey,Sal+angiogeninSAL,C+C_highGreyLevelRun,Ser+eNA78Seru,Ser+bDNFSeru,JS+3D_Sc_Sf_JS,Af+Af_BSBV,Sal+vEGFSAL,clinic+Headache,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_rf,5,Af+Af_TbTh,C+C_lowGreyLevelRun,demo+Age,clinic+Headache,clinic+RestlessSleep,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_xgbTree,10,Af+Af_entropy,C+C_TbTh,C+C_energy,Af+Af_lowGreyLevelRun,Sal+oPGSAL,Ser+mMP3Seru,Ser+oPGSeru,clinic+Headache,C+C_highGreyLevelRun,clinic+LowerBackPain,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
glmboost_lda2,10,Af+Af_invDiffMoment,C+C_shortRunHighGrey,Af+Af_inertia,Af+Af_correlation,clinic+Headache,Sal+vECadherinSAL,C+C_BVTV,Af+Af_shortRunEmph,Af+Af_energy,Af+Af_TbSp,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
